Nicrophorus tomentosus
Chondestes grammacus
Pituophis catenifer catenifer
Scopus umbretta
Copaeodes minima
Sterna striata
Pilea pumila
Dolichonyx oryzivorus
Passiflora foetida
Passiflora lutea
Danaus chrysippus
Pantherophis alleghaniensis
Passiflora incarnata
Pantherophis bairdi
Lespedeza capitata
Rubus phoenicolasius
Pandion haliaetus
Phainopepla nitens
Vitex lucens
Equisetum arvense
Callophrys gryneus
Phylloscopus collybita
Gasteracantha cancriformis
Cactophagus spinolae
Enemion biternatum
Neotibicen superbus
Porpita porpita
Contia tenuis
Trimerotropis pallidipennis
Turdus migratorius
Anthocharis cardamines
Phoebis philea
Passer montanus
Grallina cyanoleuca
Prionoplus reticularis
Conium maculatum
Opuntia ficus-indica
Stercorarius parasiticus
Clinopodium vulgare
Lygaeus turcicus
Argia nahuana
Gaillardia aestivalis
Diapheromera femorata
Leonotis nepetifolia
Plectrophenax nivalis
Ulmus alata
Equus quagga
Climaciella brunnea
Phoenicurus ochruros
Aesculus hippocastanum
Pittosporum eugenioides
Megascops asio
Leptotes cassius
Eutrapela clemataria
Ascia monuste
Echinocactus platyacanthus
Saponaria officinalis
Tyrannus tyrannus
Calamospiza melanocorys
Tyrannus forficatus
Scutigera coleoptrata
Sympetrum illotum
Lycopodiella cernua
Regulus calendula
Galium verum
Regulus ignicapilla
Caulophyllum thalictroides
Regulus regulus
Regulus satrapa
Eudryas grata
Bradybaena similaris
Tyrannus melancholicus
Castilleja miniata
Mertensia virginica
Lonicera morrowii
Pachydiplax longipennis
Melanitis leda
Pastinaca sativa
Plantago media
Papilio polytes
Cardamine diphylla
Pelecanus conspicillatus
Helvella dryophila
Chasmanthium latifolium
Diervilla lonicera
Aulacorhynchus prasinus
Ateles geoffroyi
Galanthus nivalis
Schefflera digitata
Veronica chamaedrys
Herpetotheres cachinnans
Nezara viridula
Eurema hecabe
Crepidula fornicata
Todiramphus sanctus
Metrosideros umbellata
Cebus capucinus
Solanum laciniatum
Alouatta palliata
Panthera onca
Alouatta pigra
Wyethia glabra
Phyllopalpus pulchellus
Spiza americana
Tyrannus dominicensis
Centaurea stoebe
Lilium michiganense
Biblis hyperia
Tiarella trifoliata
Linum lewisii
Rubus parviflorus
Clintonia andrewsiana
Arigomphus submedianus
Hieracium venosum
Asclepias verticillata
Macaca mulatta
Asclepias incarnata
Junonia almana
Veronicastrum virginicum
Oenothera suffrutescens
Asclepias exaltata
Anthopleura xanthogrammica
Drepana arcuata
Amanita flavoconia
Oriturus superciliosus
Psarocolius montezuma
Arctostaphylos uva-ursi
Oenothera laciniata
Rhodiola rosea
Nicrophorus orbicollis
Platyprepia virginalis
Notiomystis cincta
Lithobates berlandieri
Eurybia macrophylla
Sagittarius serpentarius
Psittacula krameri
Malus ×domestica
Verrucosa arenata
Dasymutilla occidentalis
Chamerion latifolium
Conocephalum conicum
Platycercus eximius
Protonotaria citrea
Ctenosaura pectinata
Lupinus albifrons
Larus argentatus smithsonianus
Eurycea bislineata
Eurycea lucifuga
Megaceryle alcyon
Lampropeltis holbrooki
Coccinella septempunctata
Abies concolor
Megaceryle torquata
Zanclognatha jacchusalis
Athene noctua
Melissa officinalis
Polites peckius
Glebionis coronaria
Calopteryx maculata
Sauromalus ater
Coluber constrictor priapus
Icterus galbula
Baptisia bracteata
Polistes chinensis
Mopalia lignosa
Coluber constrictor constrictor
Iguana iguana
Coluber constrictor flaviventris
Amblyrhynchus cristatus
Lithospermum incisum
Ursus arctos horribilis
Nothoscordum bivalve
Clarkia unguiculata
Impatiens parviflora
Solanum lycopersicum
Rhionaeschna californica
Lygus lineolaris
Dipsosaurus dorsalis
Aegopodium podagraria
Danaus gilippus
Amazona viridigenalis
Plusiodonta compressipalpis
Danaus gilippus thersippus
Epilobium hirsutum
Pachycereus pringlei
Alcedo atthis
Brodiaea elegans
Chlorocebus pygerythrus
Sympetrum corruptum
Chylismia brevipes
Buprestis aurulenta
Oecophylla smaragdina
Amazona autumnalis
Plethodon glutinosus
Rubus occidentalis
Plethodon cinereus
Amazona albifrons
Poanes melane
Circaea alpina
Zosterops lateralis
Gaillardia pulchella
Rhynchonycteris naso
Plethodon vehiculum
Chlorophyllum molybdites
Nathalis iole
Vaccinium angustifolium
Corvus ossifragus
Linepithema humile
Cirsium undulatum
Brachygastra mellifica
Xanthocnemis zealandica
Melangyna novaezelandiae
Eurycea cirrigera
Leptopteris superba
Ara militaris
Psaltriparus minimus
Picea glauca
Conopholis alpina
Pantographa limata
Monotropa hypopitys
Blechnum discolor
Taraxia ovata
Plagodis phlogosaria
Plethodon albagula
Megadyptes antipodes
Echinocereus mojavensis
Aquilegia vulgaris
Fulmarus glacialis
Lysimachia nummularia
Opuntia microdasys
Oenothera elata
Ceryle rudis
Arctostaphylos patula
Perithemis intensa
Ferocactus latispinus
Lascoria ambigualis
Chloroceryle americana
Calopteryx splendens
Clintonia uniflora
Ensatina eschscholtzii
Chloroceryle aenea
Selasphorus rufus
Chloroceryle amazona
Zale lunata
Leptoglossus oppositus
Zootoca vivipara
Corvus monedula
Trillium ovatum
Circaea lutetiana
Polyphylla decemlineata
Eumenes fraternus
Brachymesia gravida
Mola mola
Papilio palamedes
Orthemis ferruginea
Collinsonia canadensis
Clarkia concinna
Parnassius clodius
Chlosyne lacinia
Pittocaulon praecox
Coprosma repens
Euptoieta claudia
Nemastylis geminiflora
Dymasia dymas
Carduelis carduelis
Limenitis weidemeyerii
Coreopsis lanceolata
Coreopsis tinctoria
Chalybion californicum
Cornus nuttallii
Polistes dominula
Andropogon gerardii
Hermissenda crassicornis
Trifolium pratense
Phalangium opilio
Achnatherum hymenoides
Polygonia faunus
Xenox tigrinus
Neomyrtus pedunculata
Anacridium aegyptium
Urtica dioica
Aglais milberti
Loxodonta africana
Apodemia mormo
Trichoglossus haematodus
Phyciodes phaon
Battus polydamas
Betula nigra
Celastrina lucia
Euonymus alatus
Claytonia virginica
Sicyos angulatus
Sabatia campestris
Myiozetetes similis
Polytrichum juniperinum
Liatris spicata
Dasyprocta punctata
Verbesina alternifolia
Symphyotrichum novae-angliae
Croton californicus
Olla v-nigrum
Turdus philomelos
Sphinx kalmiae
Phacelia minor
Crataegus monogyna
Mimosa pudica
Megisto rubricata
Ammophila breviligulata
Ipomoea cordatotriloba
Cicuta maculata
Miomantis caffra
Ambrosia psilostachya
Pieris marginalis
Hemidactylus frenatus
Rumina decollata
Oxythyrea funesta
Thuja plicata
Arctia caja
Glandularia bipinnatifida
Smilax bona-nox
Cenchrus ciliaris
Palpita quadristigmalis
Pluchea odorata
Prolimacodes badia
Tsuga heterophylla
Lepidium latifolium
Hypena baltimoralis
Ganoderma tsugae
Desmognathus ochrophaeus
Polistes apachus
Arundina graminifolia
Hamamelis virginiana
Fuscospora solandri
Eumorpha vitis
Trichaptum biforme
Orgyia postica
Atriplex prostrata
Castor canadensis
Arion rufus
Cylindropuntia prolifera
Solidago rigida
Senecio vulgaris
Desmognathus fuscus
Panicum virgatum
Urbanus proteus
Mermiria bivittata
Polioptila caerulea
Cyperus esculentus
Uma scoparia
Leptinotarsa decemlineata
Xiphorhynchus flavigaster
Calandrinia menziesii
Lycopus americanus
Yucca schidigera
Convolvulus equitans
Abutilon theophrasti
Rhus trilobata
Ficus carica
Ludwigia peploides
Mercenaria mercenaria
Inula helenium
Cylindropuntia ramosissima
Sambucus racemosa
Daucus carota
Batrachoseps attenuatus
Choloepus hoffmanni
Acanalonia conica
Spoladea recurvalis
Batrachoseps major
Fulica atra
Phoradendron tomentosum
Delphinium cardinale
Polites sabuleti
Batrachoseps nigriventris
Gambusia holbrooki
Delphinium nuttallianum
Argemone ochroleuca
Arbutus xalapensis
Idia aemula
Lobatus gigas
Verbena hastata
Lacinipolia renigera
Alisma plantago-aquatica
Pseudotriton ruber
Quercus stellata
Calothorax lucifer
Asparagus officinalis
Atalopedes campestris
Gyrinophilus porphyriticus
Limacus flavus
Papilio demodocus
Upupa epops
Streptopelia turtur
Echinochloa crus-galli
Ara macao
Hordeum jubatum
Thelypteris palustris
Mopalia muscosa
Didelphis virginiana
Anaphalis margaritacea
Dodecatheon pulchellum
Cantharellus cinnabarinus
Hylocharis leucotis
Nucella lamellosa
Streptanthus tortuosus
Melopsittacus undulatus
Baccharis sarothroides
Haematopus ostralegus
Coluber taeniatus
Mytilus edulis
Myiopsitta monachus
Pterospora andromedea
Populus deltoides
Populus fremontii
Streptopelia decaocto
Uca pugilator
Typha angustifolia
Piranga ludoviciana
Catherpes mexicanus
Pleuroncodes planipes
Platycercus elegans
Amanita phalloides
Ipomopsis aggregata
Stigmochelys pardalis
Ligia occidentalis
Lobelia spicata
Drymocallis glandulosa
Rhizophora mangle
Dryopteris filix-mas
Penstemon newberryi
Pseudognaphalium obtusifolium
Lithobates sphenocephalus
Thamnophis proximus
Geothlypis formosa
Triteleia ixioides
Baileya multiradiata
Pituophis catenifer sayi
Scincella lateralis
Scoliopteryx libatrix
Cucumaria miniata
Dendraster excentricus
Dudleya pulverulenta
Cakile edentula
Tetracha carolina
Blarina brevicauda
Columba livia
Veronica arvensis
Ranunculus californicus
Cardamine douglassii
Copestylum mexicanum
Echinocereus engelmannii
Monardella villosa
Alypia octomaculata
Moneses uniflora
Scaevola taccada
Asplenium ruta-muraria
Stagmomantis carolina
Rhincodon typus
Eclipta prostrata
Polydrusus formosus
Tolmiea menziesii
Protoboarmia porcelaria
Erythemis plebeja
Asio flammeus
Anisomorpha buprestoides
Columba palumbus
Ganoderma lucidum
Argia apicalis
Tillandsia fasciculata
Setophaga magnolia
Paesia scaberula
Piranga bidentata
Erethizon dorsatum
Lupinus stiversii
Taricha torosa
Acanthocephala declivis
Hemidactylium scutatum
Asphodelus fistulosus
Maclura pomifera
Cervus elaphus nannodes
Euphorbia nutans
Larus glaucescens × occidentalis
Hermissenda opalescens
Empetrum nigrum
Colchicum autumnale
Cladophora columbiana
Lilium superbum
Patagioenas leucocephala
Cardamine concatenata
Caesalpinia pulcherrima
Quercus garryana
Aidemona azteca
Sidalcea oregana
Caracolus marginella
Thomomys bottae
Metrosideros polymorpha
Heraclides cresphontes
Asclepias oenotheroides
Lilium martagon
Patagioenas fasciata
Anageshna primordialis
Crocothemis erythraea
Neoscona crucifera
Asclepias viridiflora
Calla palustris
Patagioenas flavirostris
Butomus umbellatus
Setophaga coronata
Rhododendron groenlandicum
Alauda arvensis
Synchlora frondaria
Setophaga dominica
Ceanothus cuneatus
Galbula ruficauda
Armeria maritima
Borago officinalis
Eriophyllum wallacei
Telebasis salva
Anas rubripes
Symphyotrichum cordifolium
Triakis semifasciata
Asplenium polyodon
Tagetes lunulata
Salamandra salamandra
Bogertophis subocularis
Erythronium grandiflorum
Brephidium exilis
Veratrum californicum
Cycnia tenera
Diodon hystrix
Callistemon citrinus
Erigeron annuus
Castilleja nana
Lissachatina fulica
Platanthera ciliaris
Aglais io
Aconitum columbianum
Erigeron canadensis
Mimulus lewisii
Gavia immer
Rhododendron occidentale
Microsorum scandens
Cassiope mertensiana
Gavia stellata
Pedicularis attollens
Setophaga chrysoparia
Ipomoea purpurea
Chordeiles minor
Erigeron karvinskianus
Acropora palmata
Ambystoma laterale
Chordeiles acutipennis
Gastrophryne olivacea
Papilio glaucus
Mycteria ibis
Erigeron strigosus
Taxus brevifolia
Aneides lugubris
Calochortus umbellatus
Phalaenoptilus nuttallii
Haploa clymene
Eriodictyon crassifolium
Corvus caurinus
Notophthalmus viridescens
Dacrydium cupressinum
Pinus resinosa
Haemorhous mexicanus
Haemorhous purpureus
Dacrycarpus dacrydioides
Pinus strobus
Allium triquetrum
Feltia herilis
Nyctidromus albicollis
Leucorrhinia intacta
Ficinia spiralis
Verbascum thapsus
Asplenium platyneuron
Taricha granulosa
Campephilus guatemalensis
Ixodes scapularis
Flavoparmelia caperata
Passiflora tetrandra
Petrorhagia dubia
Pyralis farinalis
Limenitis arthemis
Crotalus scutulatus scutulatus
Passerina versicolor
Amphion floridensis
Vespula germanica
Morone saxatilis
Leptotila verreauxi
Eleutherodactylus marnockii
Cylindropuntia imbricata
Falco subbuteo
Nyctibius jamaicensis
Aphelocoma wollweberi
Staphylea trifolia
Eriogonum parvifolium
Falco femoralis
Nephila clavipes
Rhinecanthus rectangulus
Naso lituratus
Pseudopanax arboreus
Buteo plagiatus
Selasphorus calliope
Hemideina crassidens
Cophosaurus texanus
Cophosaurus texanus texanus
Muscari neglectum
Palpita magniferalis
Deinacrida rugosa
Aeshna constricta
Callisaurus draconoides rhodostictus
Vicia cracca
Eriophyllum lanatum
Lampropeltis multifasciata
Synchlora aerata
Aeshna mixta
Uta stansburiana
Schizura unicornis
Metcalfa pruinosa
Polygala alba
Poecilocapsus lineatus
Uta stansburiana elegans
Clathrus ruber
Strategus aloeus
Monobia quadridens
Gomphaeschna furcillata
Pyrausta orphisalis
Urosaurus ornatus
Dicranopteris linearis
Impatiens noli-tangere
Steatoda grossa
Cerithideopsis californica
Silene acaulis
Microtus pennsylvanicus
Prumnopitys ferruginea
Urosaurus graciosus
Rhopalostylis sapida
Ischnura ramburii
Megascops kennicottii
Romulea rosea
Gomphus exilis
Fomitopsis pinicola
Salticus scenicus
Microtus californicus
Aeshna cyanea
Barisia imbricata
Coptis trifolia
Mastigoproctus giganteus
Sceloporus undulatus
Libellula needhami
Dysdera crocata
Gomphus militaris
Peltandra virginica
Euphorbia cyathophora
Poecilanthrax lucifer
Pantherophis obsoletus lindheimeri
Euphorbia dentata
Euphorbia lathyris
Coleomegilla maculata
Gomphus vastus
Pedicia albivitta
Acer saccharum
Collomia grandiflora
Physostegia virginiana
Acer grandidentatum
Emberiza calandra
Phaeolus schweinitzii
Eurosta solidaginis
Saururus cernuus
Avicennia germinans
Sceloporus spinosus
Smilax rotundifolia
Fallugia paradoxa
Geum canadense
Polygonatum biflorum
Hermeuptychia sosybius
Pyromorpha dimidiata
Prosapia bicincta
Anthopleura elegantissima
Prionoxystus robiniae
Phacochoerus africanus
Falco sparverius
Ovis aries
Salvia pratensis
Heliotropium tenellum
Sceloporus poinsettii
Hemideina thoracica
Uroctonus mordax
Hamelia patens
Fragaria virginiana
Frangula purshiana
Sceloporus orcutti
Ctenosaura similis
Pantala hymenaea
Osmunda regalis spectabilis
Peromyscus leucopus
Sceloporus occidentalis
Coenonympha pamphilus
Rhexia mariana
Zenaida auriculata
Pararge aegeria
Hyla plicata
Sphex ichneumoneus
Polytaenia texana
Euphorbia prostrata
Euphorbia serpens
Pontederia cordata
Sceloporus merriami
Nidula niveotomentosa
Trillium recurvatum
Liometopum occidentale
Eutrochium purpureum
Galium boreale
Dermasterias imbricata
Zostera marina
Setophaga caerulescens
Abronia latifolia
Smallanthus uvedalia
Cicindela oregona
Cirsium occidentale
Freycinetia banksii
Cirsium occidentale venustum
Sceloporus jarrovii
Araneus diadematus
Monarda punctata
Leucocoprinus birnbaumii
Erythemis collocata
Eriogonum umbellatum
Piper excelsum
Neotinea ustulata
Sceloporus grammicus
Spilosoma virginica
Mazus pumilus
Stylophorum diphyllum
Sarracenia purpurea
Darlingtonia californica
Drosera anglica
Camptostoma imberbe
Drosera rotundifolia
Strix varia
Ephippiorhynchus senegalensis
Podiceps grisegena
Vitis mustangensis
Stomolophus meleagris
Parapediasia teterrella
Adiantum aleuticum
Halysidota harrisii
Dryopteris arguta
Geraea canescens
Equisetum hyemale
Accipiter striatus
Virginia striatula
Planorbella trivolvis
Geranium richardsonii
Woodwardia fimbriata
Ipomoea pes-caprae
Geranium viscosissimum
Lonicera involucrata
Geum macrophyllum
Phlox divaricata laphamii
Plagiometriona clavata
Parthenium hysterophorus
Columbina passerina
Avena fatua
Phrynosoma hernandesi
Bromus diandrus
Bromus hordeaceus
Scalopus aquaticus
Storeria dekayi
Cortaderia jubata
Amphicarpaea bracteata
Chamaebatia foliolosa
Dactylis glomerata
Phryma leptostachya
Gymnorhina tibicen
Buteo lineatus elegans
Dissosteira carolina
Holbrookia maculata
Grindelia squarrosa
Pinus palustris
Monarda didyma
Gutierrezia sarothrae
Vaccinium corymbosum
Erodium texanum
Lilium canadense
Tanacetum vulgare
Episyrphus balteatus
Asyneuma prenanthoides
Anemone quinquefolia
Asclepias viridis
Rhinocheilus lecontei
Calycanthus floridus
Geopelia striata
Artemisia pycnocephala
Celastrina echo
Cephalanthus occidentalis
Prunella vulgaris
Megaphasma denticrus
Rattus rattus
Rattus norvegicus
Fucus distichus
Helenium amarum
Helenium autumnale
Bombus fervidus
Hedypnois cretica
Pneumatopteris pennigera
Fomes fomentarius
Bombus bimaculatus
Poecile gambeli
Melissodes bimaculata
Hedychium gardnerianum
Larinioides cornutus
Hemigrapsus oregonensis
Crotophaga ani
Viola rostrata
Cakile maritima
Arabis blepharophylla
Holcus lanatus
Tubifera ferruginosa
Primula clevelandii
Hordeum murinum
Kalmia angustifolia
Parthenium integrifolium
Lolium perenne
Spizella passerina
Toxomerus geminatus
Ceratophyllum demersum
Vitis rotundifolia
Carex obnupta
Chauliognathus pensylvanicus
Ambrosia artemisiifolia
Chelinidea vittiger
Bubo virginianus
Tamias minimus
Petrochelidon fulva
Pachysandra terminalis
Lathyrus latifolius
Lupinus arboreus
Medicago arabica
Achillea millefolium
Arizona elegans
Melipotis indomita
Coenagrion puella
Progne subis
Anagallis arvensis
Catharus fuscescens
Vaccinium oxycoccos
Ocyphaps lophotes
Setophaga coronata auduboni
Tripsacum dactyloides
Spathodea campanulata
Manduca rustica
Gallinula chloropus
Hirundo neoxena
Centruroides vittatus
Morella californica
Hieracium caespitosum
Viola pedata
Sylvilagus audubonii
Artemisia douglasiana
Hemerocallis fulva
Artemisia vulgaris
Hibiscus syriacus
Asarum caudatum
Larus dominicanus dominicanus
Myriophyllum aquaticum
Hirundo rustica
Agkistrodon piscivorus
Ammophila arenaria
Verbena lasiostachys
Tramea lacerata
Simyra insularis
Notophthalmus viridescens viridescens
Calidris virgata
Calidris pugnax
Nama demissa
Lerema accius
Autographa precationis
Ocypus olens
Gonepteryx rhamni
Hymenia perspectalis
Platalea regia
Pyrausta acrionalis
Orthonama obstipata
Tachycineta thalassina
Hydrophyllum capitatum
Anas cyanoptera
Hydrophyllum tenuipes
Ectropis crepuscularia
Anolis carolinensis
Solanum carolinense
Zanclognatha pedipilalis
Riparia riparia
Palthis asopialis
Eudocimus albus
Hypericum androsaemum
Potentilla anserina pacifica
Chytonix palliatricula
Polystichum oculatum
Plegadis falcinellus
Chaerophyllum tainturieri
Plegadis chihi
Eusarca confusaria
Allium canadense
Persicaria capitata
Thamnophis sauritus
Ipomoea hederacea
Ipomoea indica
Thamnophis cyrtopsis
Hippodamia variegata
Thamnophis cyrtopsis ocellatus
Lineodes integra
Symphyotrichum ericoides
Ilex verticillata
Stelgidopteryx serripennis
Mustela nivalis
Sarcoramphus papa
Jatropha dioica
Eupatorium serotinum
Isocoma menziesii
Thamnophis sirtalis
Persicaria pensylvanica
Sula dactylatra
Neotoma fuscipes
Trichodezia albovittata
Corokia cotoneaster
Sula sula
Stereum hirsutum
Thamnophis sirtalis fitchi
Sula leucogaster
Macaria aemulataria
Morus serrator
Haematopis grataria
Helicoverpa zea
Quercus fusiformis
Trachymela sloanei
Phocides polybius
Spinulum annotinum
Thamnophis proximus orarius
Trichodes ornatus
Thamnophis marcianus
Darapsa myron
Eudyptula minor
Rhus copallinum
Epilobium brachycarpum
Thamnophis hammondii
Cerastium glomeratum
Stellaria pubera
Ciconia ciconia
Arum italicum
Hypena scabra
Thamnophis elegans vagrans
Polypodium virginianum
Nerodia rhombifer
Lichanura orcutti
Lanius ludovicianus
Crocodylus niloticus
Largus californicus
Helianthus annuus
Polistes exclamans
Cirsium vulgare
Carduus pycnocephalus
Gerygone igata
Matricaria discoidea
Pleuroprucha insulsaria
Thamnophis atratus
Parallelia bistriaris
Calidris canutus
Hypagyrtis unipunctata
Primula hendersonii
Equisetum sylvaticum
Calidris himantopus
Limosa limosa
Epirrhoe alternata
Pseudeustrotia carneola
Achyra rantalis
Calidris maritima
Anania funebris
Thalictrum thalictroides
Hypena madefactalis
Polygala californica
Calidris ferruginea
Felis catus
Calidris melanotos
Microsteris gracilis
Limnodromus griseus
Manduca quinquemaculata
Nerodia fasciata
Juniperus osteosperma
Gerrhonotus infernalis
Pycnoporus cinnabarinus
Toxicodendron radicans radicans
Kalmia polifolia
Tringa nebularia
Tringa totanus
Ambrosia trifida
Merremia dissecta
Castilleja tenuiflora
Tringa ochropus
Drosera intermedia
Pogonia ophioglossoides
Tringa glareola
Nestor meridionalis septentrionalis
Vulpes vulpes fulvus
Myrtillocactus geometrizans
Ursus americanus californiensis
Tringa flavipes
Eriogonum nudum
Cervus elaphus nelsoni
Numenius arquata
Peucetia viridans
Epilobium ciliatum
Epilobium canum
Foeniculum vulgare
Numenius phaeopus
Anthopleura sola
Ninox novaeseelandiae novaeseelandiae
Phalacrocorax carbo novaehollandiae
Galium aparine
Petroica macrocephala macrocephala
Lilium philadelphicum
Lathyrus japonicus
Petroica australis longipes
Galium triflorum
Junonia evarete
Elgaria multicarinata
Tantilla nigriceps
Tyrannus couchii
Viola striata
Obolaria virginica
Prosthemadera novaeseelandiae novaeseelandiae
Geranium dissectum
Geranium molle
Calochortus venustus
Spinus lawrencei
Tantilla gracilis
Anax imperator
Schinia arcigera
Rhipidura fuliginosa fuliginosa
Cyathea medullaris
Scolopax minor
Coryphista meadii
Arenaria interpres
Elgaria multicarinata multicarinata
Helenium puberulum
Austrolestes colensonis
Heracleum maximum
Rhipidura fuliginosa placabilis
Hirschfeldia incana
Zosterops lateralis lateralis
Lepidium virginicum
Trichostema dichotomum
Limosa haemastica
Omphalotus illudens
Penstemon rydbergii
Histiopteris incisa
Limosa fedoa
Lactuca serriola
Coluber constrictor
Calochortus leichtlinii
Phalaropus lobatus
Brassica nigra
Adalia bipunctata
Callopistria mollissima
Delphinia picta
Ferocactus pilosus
Limosa lapponica
Aegolius acadicus
Rubus armeniacus
Arum maculatum
Monarda fistulosa
Lythrum salicaria
Actitis hypoleucos
Myadestes townsendi
Quercus falcata
Leptosyne gigantea
Acmispon glaber
Bufotes balearicus
Viola rotundifolia
Anisocarpus madioides
Rhus lanceolata
Storeria dekayi texana
Surnia ulula
Platycnemis pennipes
Madia sativa
Bufotes viridis
Elymus virginicus
Storeria dekayi dekayi
Cirsium discolor
Narceus americanus
Medicago polymorpha
Asplenium flabellifolium
Aloe vera
Natrix natrix
Navarretia squarrosa
Anguis fragilis
Berberis aquifolium
Solidago sempervirens
Toxomerus marginatus
Gluphisia septentrionis
Vespula pensylvanica
Vinca major
Berteroa incana
Osmorhiza berteroi
Oxalis corniculata
Oxalis pes-caprae
Blechnum chambersii
Passerina cyanea
Corethrogyne filaginifolia
Campanula rapunculoides
Plantago erecta
Plantago lanceolata
Panulirus interruptus
Fallopia japonica
Colias croceus
Oxalis stricta
Ichthyosaura alpestris
Ranunculus occidentalis
Ramphastos ambiguus
Phryganidia californica
Megapallifera mutabilis
Manorina melanocephala
Haliotis rufescens
Woodwardia areolata
Rumex crispus
Ilex opaca
Salvia columbariae
Dacryopinax spathularia
Linaria purpurea
Clinopodium douglasii
Schinia florida
Coluber constrictor mormon
Delairea odorata
Pelecanus occidentalis carolinensis
Silene gallica
Tyto alba
Galax urceolata
Taricha sierrae
Liatris pycnostachya
Solanum americanum
Sonora semiannulata
Boisea rubrolineata
Boisea trivittata
Cryptotaenia canadensis
Hydrastis canadensis
Anastomus lamelligerus
Crotalus atrox
Arion subfuscus
Caedicia simplex
Ursus arctos
Prunus laurocerasus
Crotalus scutulatus
Gymnogyps californianus
Sceloporus cyanogenys
Trillium cernuum
Desmia funeralis
Acanthocephala terminalis
Discaria toumatou
Lonicera ciliosa
Lonicera japonica
Lonicera tatarica
Eremophila alpestris
Yucca filifera
Luetkea pectinata
Maianthemum stellatum
Sonchus asper
Brassica rapa
Tremella fuciformis
Campanulastrum americanum
Sylvia communis
Rhinanthus minor
Leratiomyces erythrocephalus
Nandina domestica
Amphiachyris dracunculoides
Liatris mucronata
Lindheimera texana
Phlox pilosa
Phoebastria nigripes
Sonchus oleraceus
Phoebastria immutabilis
Oceanites oceanicus
Thalictrum fendleri
Chrysopilus thoracicus
Vaccinium myrtillus
Erythemis simplicicollis
Argemone albiflora
Eriophora pustulosa
Pyrrhopappus pauciflorus
Cerastium fontanum
Cydalima perspectalis
Ascalapha odorata
Hymenolaimus malacorhynchos
Manduca sexta
Urtica urens
Ischnura elegans
Salvadora hexalepis
Vicia americana
Adelges tsugae
Mimosa quadrivalvis platycarpa
Vicia sativa
Salvadora grahamiae
Salvadora grahamiae lineata
Viola adunca
Tigrisoma mexicanum
Rubus trivialis
Helix pomatia
Forficula auricularia
Pachysphinx modesta
Paonias myops
Vespula squamosa
Marpesia chiron
Lycopodium clavatum
Crotalus mitchellii
Propylea quatuordecimpunctata
Lysimachia thyrsiflora
Ipomoea lacunosa
Tachyglossus aculeatus
Calopteryx virgo
Francolinus pondicerianus
Charadrius wilsonia
Aesculus californica
Psychomorpha epimenis
Amphibolips confluenta
Sceloporus graciosus vandenburgianus
Xylophanes tersa
Artemisia californica
Baccharis pilularis
Podiceps cristatus
Podiceps auritus
Chrysolepis chrysophylla
Calledapteryx dryopterata
Hyles gallii
Dendrocopos major
Echinocactus texensis
Houstonia caerulea
Chamaecyparis thyoides
Xanthorhoe ferrugata
Malva arborea
Beilschmiedia tawa
Malva neglecta
Echinargus isola
Picus viridis
Apatura ilia
Centrosema virginianum
Marah oregana
Peromyscus maniculatus
Chrysolepis sempervirens
Griselinia littoralis
Tachybaptus ruficollis
Tachybaptus dominicus
Lantana camara
Physocarpus opulifolius
Spodoptera ornithogalli
Eriophyllum confertiflorum
Pluteus cervinus
Apantesis phalerata
Garrya elliptica
Euplagia quadripunctaria
Smerinthus cerisyi
Genista monspessulana
Heteromeles arbutifolia
Prochoerodes lineola
Phoenicopterus ruber
Melinis repens
Sceloporus torquatus
Holodiscus discolor
Pterophylla camellifolia
Lonicera hispidula
Phalacrocorax auritus
Oemleria cerasiformis
Opuntia engelmannii lindheimeri
Phalacrocorax carbo
Frangula californica
Neomonachus schauinslandi
Chondracanthus exasperatus
Regina septemvittata
Ginkgo biloba
Phalacrocorax penicillatus
Aechmophorus clarkii
Psyllobora vigintimaculata
Allograpta obliqua
Capnoides sempervirens
Bombus impatiens
Crotalus cerastes
Rosa californica
Notholithocarpus densiflorus
Menyanthes trifoliata
Rosa gymnocarpa
Polyporus arcularius
Charadrius dubius
Rubus ursinus
Micranthes californica
Aquilegia canadensis
Salix lasiolepis
Tillandsia recurvata
Cyanea capillata
Phalacrocorax varius
Securigera varia
Junco hyemalis oreganus
Astraptes fulgerator
Pinus rigida
Diaphania hyalinata
Peridea angulosa
Chaetodon auriga
Ipomopsis rubra
Phaethon aethereus
Lagerstroemia indica
Hygrocybe flavescens
Ctenucha virginica
Argia fumipennis violacea
Pelecanus onocrotalus
Pelecanus occidentalis
Diaethria anna
Heliomata cycladata
Pelecanus erythrorhynchos
Ramphastos sulfuratus
Sedum lanceolatum
Atta texana
Zenaida macroura
Fratercula cirrhata
Larus occidentalis
Besma quercivoraria
Homophoberia apicosa
Udea rubigalis
Larus thayeri
Trogon melanocephalus
Larus livens
Larus canus
Eupatorium perfoliatum
Ovis canadensis canadensis
Modiola caroliniana
Ageratina altissima
Larus glaucoides
Mollugo verticillata
Larus delawarensis
Larus marinus
Trogon collaris
Orthetrum cancellatum
Acronicta fallax
Zenaida asiatica
Idia lubricalis
Selliera radicans
Apodemia virgulti
Larus fuscus
Samolus repens
Tetracis cachexiata
Danaus eresimus
Larus californicus
Oncorhynchus nerka
Betula papyrifera
Larus dominicanus
Cirsium horridulum
Borrichia frutescens
Aesculus pavia
Ulmus americana
