Hermodice carunculata
Tyta luctuosa
Xerociris wilsonii
Xestia c-nigrum
Xestia dolosa
Xestia smithii
Xestia xanthographa
Baileya australis
Baileya ophthalmica
Meganola minuscula
Meganola phylla
Nola cereella
Uraba lugens
Clostera apicalis
Datana integerrima
Datana major
Destolmia lineata
Ecnomodes sagittaria
Furcula borealis
Furcula cinerea
Heterocampa guttivitta
Heterocampa obliqua
Heterocampa umbrata
Hyperaeschra georgica
Lochmaeus bilineata
Lochmaeus manteo
Macrurocampa marthesia
Nadata gibbosa
Neola semiaurata
Nerice bidentata
Ochrogaster lunifer
Oligocentria lignicolor
Oligocentria semirufescens
Peridea basitriens
Phalera bucephala
Pheosia rimosa
Schizura concinna
Schizura ipomaeae
Schizura leptinoides
Schizura unicornis
Acraea terpsicore
Adelpha basiloides
Adelpha californica
Adelpha eulalia
Adelpha fessonia
Adelpha iphicleola
Aglais io
Aglais milberti
Aglais urticae
Agraulis vanillae
Anaea andria
Anartia amathea
Anartia fatima
Anartia jatrophae
Anthanassa texana
Anthanassa tulcis
Apatura iris
Aphantopus hyperantus
Argynnis adippe
Argynnis aglaja
Argynnis pandora
Argynnis paphia
Argyreus hyperbius
Asterocampa celtis
Asterocampa clyton
Asterocampa leilia
Boloria bellona
Boloria epithore
Boloria euphrosyne
Brenthis daphne
Brenthis ino
Brintesia circe
Caligo telamonius
Catonephele numilia
Cercyonis oetus
Cercyonis pegala
Cercyonis sthenele
Chlosyne acastus
Chlosyne californica
Chlosyne gabbii
Chlosyne harrisii
Chlosyne hippodrome
Chlosyne lacinia
Chlosyne nycteis
Chlosyne palla
Chlosyne rosita
Coenonympha pamphilus
Coenonympha tullia
Colobura dirce
Cupha erymanthis
Danaus genutia
Danaus gilippus
Danaus petilia
Danaus plexippus
Diaethria clymena
Dione moneta
Doleschallia bisaltide
Doxocopa laure
Doxocopa pavon
Dryadula phaetusa
Dryas iulia
Dynamine postverta
Elymnias hypermnestra
Epiphile adrasta
Erebia ligea
Eresia phillyra
Eueides isabella
Eunica monima
Eunica tatila
Euphydryas aurinia
Euphydryas chalcedona
Euphydryas phaeton
Euploea core
Euploea mulciber
Euptoieta claudia
Euptoieta hegesia
Euthalia aconthea
Faunis canens
Greta morgane
Hamadryas amphinome
Hamadryas feronia
Hamadryas glauconome
Hamadryas guatemalena
Hamanumida daedalus
Heliconius charithonia
Heliconius hortense
Hermeuptychia hermes
Hermeuptychia hermybius
Heteronympha merope
Hipparchia fidia
Hipparchia semele
Hipparchia statilinus
Historis odius
Hypanartia lethe
Hypolimnas anomala
Hypolimnas misippus
Ideopsis vulgaris
Issoria lathonia
Junonia atlites
Junonia coenia
Junonia hedonia
Junonia hierta
Junonia iphita
Junonia lemonias
Junonia oenone
Junonia orithya
Junonia terea
Junonia villida
Kaniska canace
Lasiommata maera
Lasiommata megera
Lethe anthedon
Lethe eurydice
Lethe portlandia
Lexias pardalis
Libytheana carinenta
Limenitis archippus
Limenitis arthemis
Limenitis camilla
Limenitis lorquini
Manataria hercyna
Maniola jurtina
Marpesia petreus
Megisto cymela
Melanargia galathea
Melitaea athalia
Melitaea cinxia
Melitaea phoebe
Mestra amymone
Minois dryas
Moduza procris
Morpho helenor
Morpho polyphemus
Mycalesis mineus
Mycalesis perseoides
Myscelia cyananthe
Myscelia ethusa
Neptis hylas
Nymphalis antiopa
Nymphalis californica
Nymphalis l-album
Nymphalis polychloros
Orsotriaena medus
Pararge aegeria
Pareuptychia ocirrhoe
Phaedyma columella
Phalanta phalantha
Phyciodes cocyta
Phyciodes mylitta
Phyciodes phaon
Phyciodes pulchella
Phyciodes tharos
Polygonia c-album
Polygonia c-aureum
Polygonia comma
Polygonia interrogationis
Polygonia satyrus
Pyronia bathseba
Pyronia cecilia
Pyrrhogyra neaerea
Satyrus ferula
Siderone galanthis
Siproeta epaphus
Siproeta stelenes
Smyrna blomfildia
Speyeria atlantis
Speyeria callippe
Speyeria coronis
Speyeria cybele
Tanaecia pelea
Tirumala limniace
Vanessa annabella
Vanessa atalanta
Vanessa cardui
Vanessa gonerilla
Vanessa itea
Vanessa virginiensis
Vindula dejone
Ypthima baldus
Ypthima horsfieldii
Ypthima huebneri
Agriophara confertella
Endrosis sarcitrella
Hofmannophila pseudospretella
Olbonoma triptycha
Promalactis suzukiella
Battus philenor
Eurytides marcellus
Eurytides philolaus
Graphium agamemnon
Graphium sarpedon
Iphiclides feisthamelii
Pachliopta aristolochiae
Papilio aegeus
Papilio anchisiades
Papilio canadensis
Papilio clytia
Papilio cresphontes
Papilio demoleus
Papilio eurymedon
Papilio garamas
Papilio glaucus
Papilio machaon
Papilio memnon
Papilio multicaudata
Papilio palamedes
Papilio paris
Papilio polyxenes
Papilio rogeri
Papilio rumiko
Papilio rutulus
Papilio thoas
Papilio troilus
Papilio xuthus
Papilio zelicaon
Parides photinus
Parnassius apollo
Parnassius smintheus
Protographium epidaus
Troides helena
Zerynthia cassandra
Zerynthia polyxena
Zerynthia rumina
Abaeis nicippe
Anthocharis sara
Aphrissa statira
Appias libythea
Ascia monuste
Belenois aurota
Belenois java
Catasticta teutila
Catopsilia florella
Catopsilia pomona
Catopsilia pyranthe
Cepora nerissa
Colias croceus
Colias eurytheme
Colias philodice
Delias hyparete
Delias pasithoe
Euchloe ausonides
Eurema blanda
Eurema salome
Ganyra josephina
Glutophrissa drusilla
Gonepteryx cleopatra
Gonepteryx rhamni
Kricogonia lyside
Leptophobia aripa
Leptosia nina
Nathalis iole
Phoebis agarithe
Phoebis argante
Phoebis sennae
Pieris brassicae
Pieris canidia
Pieris marginalis
Pieris napi
Pieris rapae
Pieris virginiensis
Pontia beckerii
Pontia daplidice
Pontia edusa
Pontia occidentalis
Pontia protodice
Pyrisitia lisa
Pyrisitia nise
Pyrisitia proterpia
Zerene cesonia
Zerene eurydice
Plutella xylostella
Psyche casta
Thyridopteryx ephemeraeformis
Anstenoptilia marmarodactyla
Emmelina monodactyla
Gillmeria pallidactyla
Lantanophaga pusillidactylus
Platyptilia carduidactylus
Pterophorus pentadactyla
Sphenarches anisodactylus
Aglossa costiferalis
Aglossa disciferalis
Arta olivalis
Arta statalis
Clydonopteron sacculana
Condylolomia participalis
Elasmopalpus lignosellus
Endotricha flammealis
Endotricha mesenterialis
Endotricha pyrosalis
Epipaschia superatalis
Eulogia ochrifrontella
Galasa nigrinodis
Hypsopygia albidalis
Hypsopygia binodulalis
Hypsopygia costalis
Hypsopygia olinalis
Moodna ostrinella
Oneida lunulalis
Pococera asperatella
Scenedra decoratalis
Spectrotrota fimbrialis
Tosale oviplagalis
Abisara echerius
Anteros carausius
Apodemia mejicanus
Apodemia mormo
Apodemia palmerii
Apodemia virgulti
Calephelis nemesis
Calephelis perditalis
Calephelis virginiensis
Caria ino
Emesis emesia
Hamearis lucina
Lasaia sula
Melanis acroleuca
Melanis cephise
Rhetus arcius
Zemeros flegyas
Actias luna
Anisota stigma
Antheraea polyphemus
Arsenura armida
Attacus atlas
Automeris io
Callosamia angulifera
Dryocampa rubicunda
Eacles imperialis
Eupackardia calleta
Hemileuca maia
Hyalophora cecropia
Opodiphthera eucalypti
Saturnia pyri
Sphingicampa hubbardi
Scythris trivinctella
Synanthedon acerni
Acherontia atropos
Amorpha juglandis
Ceratomia amyntor
Ceratomia undulosa
Darapsa myron
Deilephila elpenor
Dolba hyloeus
Enyo lugubris
Erinnyis ello
Erinnyis obscura
Eumorpha labruscae
Hemaris diffinis
Hemaris thetis
Hemaris thysbe
Hippotion celerio
Hippotion scrofa
Hyles euphorbiae
Hyles lineata
Laothoe populi
Macroglossum stellatarum
Manduca sexta
Mimas tiliae
Pachylia ficus
Paonias excaecata
Paonias myops
Paratrea plebeja
Smerinthus jamaicensis
Sphecodina abbottii
Sphinx chersis
Sphinx dollii
Sphinx perelegans
Theretra latreillii
Theretra nessus
Xylophanes falco
Thyris maculata
Acrolophus popeanella
Homostinea curviliniella
Monopis pavlovskii
Tinea apicimaculella
Acleris forsskaleana
Acleris nivisellana
Acleris semipurpurana
Amorbia humerosana
Archips argyrospila
Archips cerasivorana
Archips grisea
Archips purpurana
Archips semiferana
Argyrotaenia alisellana
Argyrotaenia mariana
Argyrotaenia quercifoliana
Argyrotaenia velutinana
Cenopis pettitana
Chimoptesis pennsylvaniana
Choristoneura houstonana
Clepsis melaleucana
Clepsis peritana
Clepsis persicana
Clepsis virescana
Cnephasia jactatana
Coelostathma discopunctana
Crocidosema plebejana
Cydia caryana
Cydia latiferreana
Cydia pomonella
Ecdytolopha insiticiana
Ecdytolopha mana
Endothenia hebesana
Epiblema otiosana
Epiblema scudderiana
Epiblema strenuana
Epiphyas postvittana
Eucosma ochroterminana
Eucosma parmatana
Eucosma tomonana
Eumarozia malachitana
Gymnandrosoma punctidiscanum
Isotenes miserana
Olethreutes bipartitana
Olethreutes fasciatana
Pandemis limitata
Pelochrista derelicta
Pelochrista dorsisignatana
Pelochrista similiana
Platynota exasperatana
Platynota flavedana
Platynota rostrana
Proteoteras aesculana
Sparganothis sulfureana
Sparganothoides lentiginosana
Syndemis afflictana
Callizzia amorata
Micronia aculeata
Urania fulgens
Ypsolopha dentella
Cyclosia papilionaris
Zygaena filipendulae
Empusa pennata
Gonatista grisea
Hierodula patellifera
Mantis religiosa
Miomantis caffra
Phyllovates chlorophaea
Stagmomantis californica
Stagmomantis carolina
Stagmomantis limbata
Tenodera sinensis
Iris oratoria
Thesprotia graminis
Archichauliodes diversus
Chauliodes pectinicornis
Chauliodes rastricornis
Libelloides coccajus
Chrysoperla carnea
Micromus tasmaniae
Dicromantispa interrupta
Dicromantispa sayi
Zeugomantispa minuta
Adversaeschna brevistyla
Aeshna clepsydra
Aeshna eremita
Aeshna juncea
Aeshna tuberculifera
Aeshna umbrosa
Aeshna verticalis
Aeshna walkeri
Anax junius
Anax longipes
Anax parthenope
Coryphaeschna ingens
Epiaeschna heros
Gynacantha nervosa
Nasiaeschna pentacantha
Rhionaeschna multicolor
Rhionaeschna mutata
Austroargiolestes icteromelas
Calopteryx aequabilis
Calopteryx dimidiata
Calopteryx haemorrhoidalis
Calopteryx maculata
Calopteryx splendens
Calopteryx virgo
Hetaerina americana
Hetaerina titia
Hetaerina vulnerata
Acanthagrion quadratum
Amphiagrion abbreviatum
Amphiagrion saucium
Argia agrioides
Argia alberta
Argia anceps
Argia apicalis
Argia bipunctulata
Argia emma
Argia fumipennis
Argia hinei
Argia immunda
Argia lugens
Argia moesta
Argia nahuana
Argia oenea
Argia pallens
Argia plana
Argia rhoadsi
Argia sedula
Argia tibialis
Argia translata
Argia vivida
Ceriagrion cerinorubellum
Chromagrion conditum
Coenagrion resolutum
Enallagma annexum
Enallagma antennatum
Enallagma aspersum
Enallagma basidens
Enallagma boreale
Enallagma carunculatum
Enallagma civile
Enallagma divagans
Enallagma durum
Enallagma ebrium
Enallagma exsulans
Enallagma hageni
Enallagma novaehispaniae
Enallagma praevarum
Enallagma signatum
Enallagma traviatum
Hesperagrion heterodoxum
Ischnura aurora
Ischnura barberi
Ischnura cervula
Ischnura demorsa
Ischnura elegans
Ischnura erratica
Ischnura hastata
Ischnura heterosticta
Ischnura kellicotti
Ischnura perparva
Ischnura posita
Ischnura ramburii
Ischnura senegalensis
Ischnura verticalis
Nehalennia gracilis
Protoneura cara
Pseudagrion microcephalum
Telebasis salva
Xanthocnemis zealandica
Cordulegaster boltonii
Cordulegaster maculata
Cordulegaster obliqua
Epitheca cynosura
Epitheca petechialis
Epitheca semiaquea
Epitheca spinigera
Hemicordulia australiae
Somatochlora linearis
Somatochlora tenebrosa
Somatochlora walshii
Aphylla angustifolia
Aphylla williamsoni
Arigomphus furcifer
Arigomphus submedianus
Dromogomphus spinosus
Dromogomphus spoliatus
Erpetogomphus compositus
Erpetogomphus designatus
Erpetogomphus eutainia
Gomphurus externus
Gomphurus fraternus
Gomphurus vastus
Hagenius brevistylus
Onychogomphus forcipatus
Onychogomphus uncatus
Ophiogomphus bison
Ophiogomphus severus
Phanogomphus borealis
Phanogomphus exilis
Phanogomphus graslinellus
Phanogomphus kurilis
Phanogomphus lividus
Phanogomphus militaris
Phanogomphus oklahomensis
Phanogomphus spicatus
Phyllogomphoides albrighti
Phyllogomphoides stigmatus
Progomphus borealis
Progomphus obscurus
Stylogomphus albistylus
Stylurus plagiatus
Archilestes californicus
Archilestes grandis
Chalcolestes viridis
Lestes alacer
Lestes australis
Lestes eurinus
Lestes forcipatus
Lestes forficula
Lestes inaequalis
Lestes unguiculatus
Lestes vigilax
Sympecma fusca
Acisoma panorpoides
Brachydiplax chalybea
Brachymesia furcata
Brachymesia gravida
Brachythemis contaminata
Brachythemis leucosticta
Brechmorhoga mendax
Cannaphila insularis
Celithemis amanda
Celithemis elisa
Celithemis eponina
Celithemis ornata
Crocothemis erythraea
Crocothemis servilia
Diplacodes bipunctata
Dythemis fugax
Dythemis nigrescens
Dythemis sterilis
Dythemis velox
Erythemis attala
Erythemis collocata
Erythemis peruviana
Erythemis plebeja
Erythemis simplicicollis
Erythemis vesiculosa
Erythrodiplax basifusca
Erythrodiplax berenice
Erythrodiplax funerea
Erythrodiplax umbrata
Ladona deplanata
Ladona julia
Lathrecista asiatica
Leucorrhinia glacialis
Leucorrhinia intacta
Libellula auripennis
Libellula axilena
Libellula comanche
Libellula croceipennis
Libellula cyanea
Libellula depressa
Libellula flavida
Libellula forensis
Libellula fulva
Libellula incesta
Libellula luctuosa
Libellula needhami
Libellula pulchella
Libellula quadrimaculata
Libellula saturata
Libellula semifasciata
Libellula vibrans
Macrodiplax balteata
Miathyria marcella
Micrathyria aequalis
Micrathyria hagenii
Neurothemis fluctuans
Neurothemis fulvia
Neurothemis tullia
Orthemis discolor
Orthemis ferruginea
Orthetrum albistylum
Orthetrum brunneum
Orthetrum caledonicum
Orthetrum chrysis
Orthetrum chrysostigma
Orthetrum coerulescens
Orthetrum glaucum
Orthetrum luzonicum
Orthetrum pruinosum
Orthetrum testaceum
Pachydiplax longipennis
Palpopleura lucia
Paltothemis lineatipes
Pantala flavescens
Pantala hymenaea
Perithemis domitia
Perithemis intensa
Perithemis tenera
Plathemis lydia
Plathemis subornata
Potamarcha congener
Pseudoleon superbus
Rhyothemis phyllis
Rhyothemis variegata
Sympetrum ambiguum
Sympetrum corruptum
Sympetrum illotum
Sympetrum meridionale
Sympetrum obtrusum
Sympetrum pallipes
Sympetrum pedemontanum
Sympetrum rubicundulum
Sympetrum semicinctum
Sympetrum vicinum
Tholymis tillarga
Tramea calverti
Tramea lacerata
Tramea onusta
Trithemis arteriosa
Trithemis aurora
Trithemis festiva
Trithemis kirbyi
Tyriobapta torrida
Didymops transversa
Macromia illinoiensis
Macromia taeniolata
Tachopteryx thoreyi
Uropetala carovei
Platycnemis pennipes
Acrida cinerea
Amblytropidia mysteca
Camnula pellucida
Chimarocephala pacifica
Chorthippus brunneus
Chortophaga australior
Chortophaga viridifasciata
Dichromorpha viridis
Dissosteira pictipennis
Hesperotettix speciosus
Hesperotettix viridis
Hippiscus ocelote
Lactista gibbosus
Locusta migratoria
Melanoplus bivittatus
Melanoplus differentialis
Melanoplus femurrubrum
Melanoplus punctulatus
Oedipoda caerulescens
Paroxya clavuliger
Pezotettix giornae
Pseudochorthippus curtipennis
Pseudochorthippus parallelus
Schistocerca lineata
Schistocerca nitens
Syrbula montezuma
Trimerotropis fontana
Trimerotropis maritima
Trimerotropis pallidipennis
Trimerotropis verruculata
Valanga nigricornis
Xenocatantops humilis
Hemideina crassidens
Gryllodes sigillatus
Gryllus campestris
Gryllus pennsylvanicus
Hapithus agitator
Neoxabea bipunctata
Nisitrus vittatus
Oecanthus nigricornis
Oecanthus niveus
Orocharis saltator
Velarifictorus micado
Sphenarium purpurascens
Diestrammena asynamora
Chromacris colorata
Dracotettix monstrosus
Romalea microptera
Taeniopoda tamaulipensis
Tropidacris cristata
Stenopelmatus fuscus
Anabrus simplex
Conocephalus fasciatus
Conocephalus fuscus
Conocephalus strictus
Decticus verrucivorus
Leptophyes punctatissima
Meconema meridionale
Meconema thalassinum
Microcentrum retinerve
Neoconocephalus triops
Orchelimum nigripes
Orchelimum pulchellum
Pholidoptera griseoaptera
Roeseliana roeselii
Scudderia mexicana
Scudderia septentrionalis
Carausius morosus
Clitarchus hookeri
Cerastipsocus venosus
Graphopsocus cruciatus
Lepisma saccharina
Blepharipoda occidentalis
Orconectes virilis
Procambarus acutus
Procambarus clarkii
Cancer irroratus
Cancer productus
Glebocarcinus oregonensis
Romaleon antennarium
Coenobita compressus
Clibanarius vittatus
Pugettia producta
Grapsus tenuicrustatus
Leptograpsus variegatus
Pachygrapsus crassipes
Emerita analoga
Emerita talpoida
Stenorhynchus seticornis
Menippe mercenaria
Homarus americanus
Leptuca pugilator
Minuca pugnax
Pagurus granosimanus
Pagurus hirsutiusculus
Pagurus novizealandiae
Palaemon affinis
Jasus edwardsii
Panulirus argus
Lophopanopeus bellus
Paranephrops planifrons
Loxorhynchus grandis
Guinusia chabrus
Petrolisthes elongatus
Arenaeus cribrarius
Callinectes sapidus
Ovalipes catharus
Ovalipes ocellatus
Portunus pelagicus
Parribacus antarcticus
Aratus pisonii
Stenopus hispidus
Hemigrapsus crenulatus
Hemigrapsus nudus
Hemigrapsus sanguineus
Hemigrapsus sexdentatus
Armadillidium nasatum
Armadillidium vulgare
Idotea resecata
Pentidotea wosnesenskii
Ligia exotica
Porcellio dilatatus
Porcellio laevis
Porcellio spinicornis
Isocladus armatus
Trachelipus rathkii
Limulus polyphemus
Integripelta bilabiata
Anguilla australis
Anguilla dieffenbachii
Heteroconger hassi
Echidna nebulosa
Gymnothorax eurostus
Gymnothorax flavimarginatus
Gymnothorax funebris
Gymnothorax javanicus
Gymnothorax meleagris
Gymnothorax prasinus
Muraena helena
Rhinomuraena quaesita
Latropiscis purpurissatus
Synodus variegatus
Strongylura marina
Holocentrus rufus
Neoniphon sammara
Dorosoma cepedianum
Catostomus commersonii
Hypentelium nigricans
Campostoma anomalum
Cyprinus carpio
Luxilus chrysocephalus
Notemigonus crysoleucas
Rhinichthys atratulus
Semotilus atromaculatus
Fundulus diaphanus
Fundulus heteroclitus
Fundulus notatus
Gambusia affinis
Esox americanus
Esox niger
Umbra limi
Culaea inconstans
Lepisosteus platyrhincus
Antennarius commerson
Antennarius striatus
Mugil cephalus
Acanthurus achilles
Acanthurus bahianus
Acanthurus chirurgus
Acanthurus dussumieri
Acanthurus lineatus
Acanthurus nigricans
Acanthurus nigrofuscus
Acanthurus olivaceus
Acanthurus triostegus
Acanthurus xanthopterus
Ctenochaetus striatus
Ctenochaetus strigosus
Naso brevirostris
Naso unicornis
Prionurus microlepidotus
Zebrasoma flavescens
Zebrasoma scopas
Zebrasoma velifer
Aplodactylus lophodon
Ostorhinchus limenus
Exallias brevis
Plagiotremus rhinorhynchos
Plagiotremus tapeinosoma
Caesio caerulaurea
Eocallionymus papilio
Caranx ignobilis
Caranx ruber
Caranx sexfasciatus
Pseudocaranx georgianus
Seriola lalandi
Trachurus novaezelandiae
Ambloplites rupestris
Lepomis auritus
Lepomis cyanellus
Lepomis gulosus
Lepomis macrochirus
Lepomis microlophus
Micropterus punctulatus
Micropterus salmoides
Pomoxis annularis
Centropomus undecimalis
Chaetodon auriga
Chaetodon baronessa
Chaetodon citrinellus
Chaetodon ephippium
Chaetodon flavirostris
Chaetodon fremblii
Chaetodon kleinii
Chaetodon lineolatus
Chaetodon lunula
Chaetodon lunulatus
Chaetodon melannotus
Chaetodon ocellatus
Chaetodon ornatissimus
Chaetodon quadrimaculatus
Chaetodon rafflesii
Chaetodon striatus
Chaetodon trifascialis
Chaetodon ulietensis
Chaetodon unimaculatus
Chaetodon vagabundus
Chelmonops truncatus
Forcipiger flavissimus
Hemitaurichthys polylepis
Heniochus acuminatus
Heniochus chrysostomus
Heniochus diphreutes
Heniochus varius
Cheilodactylus fuscus
Cheilodactylus nigripes
Cheilodactylus vestitus
Dactylophora nigricans
Chironemus marmoratus
Herichthys cyanoguttatus
Oreochromis aureus
Cirrhitichthys aprinus
Cirrhitichthys falco
Cirrhitichthys oxycephalus
Paracirrhites arcatus
Paracirrhites forsteri
Coryphaena hippurus
Dinolestes lewini
Echeneis naucrates
Cymatogaster aggregata
Enoplosus armatus
Platax teira
Gerres subfasciatus
Amblygobius phalaena
Istigobius hoesei
Neogobius melanostomus
Padogobius bonelli
Valenciennea strigata
Anisotremus virginicus
Haemulon chrysargyreum
Haemulon flavolineatum
Plectorhinchus chaetodonoides
Plectorhinchus vittatus
Atypichthys strigatus
Girella nigricans
Girella tricuspidata
Girella zebra
Microcanthus strigatus
Scorpis lineolata
Tilodon sexfasciatus
Achoerodus viridis
Bodianus rufus
Cheilinus fasciatus
Cheilinus undulatus
Cheilio inermis
Coris gaimard
Coris julis
Coris picta
Epibulus insidiator
Eupetrichthys angustipes
Gomphosus varius
Halichoeres bivittatus
Halichoeres garnoti
Halichoeres hortulanus
Hemigymnus fasciatus
Hemigymnus melapterus
Labroides dimidiatus
Macropharyngodon meleagris
Notolabrus gymnogenis
Novaculichthys taeniourus
Ophthalmolepis lineolata
Oxycheilinus bimaculatus
Oxycheilinus digramma
Pictilabrus laticlavius
Pseudolabrus guentheri
Semicossyphus pulcher
Stethojulis bandanensis
Stethojulis interrupta
Thalassoma amblycephalum
Thalassoma duperrey
Thalassoma hardwicke
Thalassoma lucasanum
Thalassoma lunare
Thalassoma lutescens
Thalassoma pavo
Thalassoma trilobatum
Lethrinus nebulosus
Monotaxis grandoculis
Lutjanus apodus
Lutjanus bohar
Lutjanus fulvus
Lutjanus kasmira
Lutjanus synagris
Macolor macularis
Ocyurus chrysurus
Nemateleotris magnifica
Ptereleotris evides
Monodactylus argenteus
Schuettea scalaripinnis
Morone americana
Morone chrysops
Mulloidichthys flavolineatus
Mulloidichthys martinicus
Mulloidichthys vanicolensis
Mullus surmuletus
Parupeneus cyclostomus
Parupeneus multifasciatus
Parupeneus spilurus
Upeneichthys lineatus
Upeneichthys vlamingii
Upeneus tragula
Scolopsis bilineata
Heteroscarus acroptilus
Pempheris affinis
Pempheris compressa
Etheostoma caeruleum
Perca fluviatilis
Sander vitreus
Trachinops taeniatus
Centropyge bicolor
Centropyge bispinosa
Genicanthus melanospilos
Holacanthus ciliaris
Holacanthus passer
Pomacanthus arcuatus
Pomacanthus imperator
Pomacanthus paru
Pomacanthus semicirculatus
Pygoplites diacanthus
Abudefduf sexfasciatus
Abudefduf troschelii
Abudefduf vaigiensis
Amphiprion bicinctus
Amphiprion chrysopterus
Amphiprion clarkii
Amphiprion melanopus
Amphiprion ocellaris
Amphiprion perideraion
Chromis chromis
Chromis cyanea
Chromis hypsilepis
Chromis multilineata
Chromis viridis
Dascyllus albisella
Dascyllus aruanus
Dascyllus reticulatus
Dascyllus trimaculatus
Hypsypops rubicundus
Mecaenichthys immaculatus
Microspathodon chrysurus
Microspathodon dorsalis
Parma microlepis
Parma unifasciata
Parma victoriae
Plectroglyphidodon lacrymatus
Pomacentrus coelestis
Pomacentrus moluccensis
Premnas biaculeatus
Stegastes partitus
Pomatomus saltatrix
Priacanthus hamrur
Cetoscarus ocellatus
Chlorurus microrhinos
Chlorurus sordidus
Scarus frenatus
Scarus ghobban
Scarus iseri
Scarus psittacus
Sparisoma aurofrenatum
Aplodinotus grunniens
Argyrosomus japonicus
Cynoscion nebulosus
Pogonias cromis
Sciaenops ocellatus
Cephalopholis argus
Cephalopholis miniata
Epinephelus fasciatus
Epinephelus merra
Hypoplectrodes maccullochi
Paralabrax clathratus
Plectropomus leopardus
Pseudanthias squamipinnis
Sillago ciliata
Acanthopagrus australis
Archosargus probatocephalus
Diplodus sargus
Diplodus vulgaris
Lagodon rhomboides
Pagrus auratus
Rhabdosargus sarba
Sarpa salpa
Sphyraena barracuda
Sphyraena jello
Bellapiscis medius
Enneapterygius atrogulare
Forsterygion lapillum
Zanclus cornutus
Oncorhynchus clarkii
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus tshawytscha
Salmo trutta
Salvelinus fontinalis
Scorpaenichthys marmoratus
Hexagrammos decagrammus
Platycephalus fuscus
Dendrochirus brachypterus
Dendrochirus zebra
Pterois antennata
Pterois miles
Scorpaena jacksoniensis
Scorpaena plumieri
Taenianotus triacanthus
Centropogon australis
Ariopsis felis
Ameiurus natalis
Ameiurus nebulosus
Pylodictis olivaris
Cnidoglanis macrocephalus
Plotosus lineatus
Aulostomus chinensis
Aulostomus maculatus
Solenostomus paradoxus
Hippocampus abdominalis
Hippocampus bargibanti
Hippocampus breviceps
Hippocampus denise
Hippocampus erectus
Hippocampus guttulatus
Hippocampus histrix
Hippocampus kuda
Hippocampus pontohi
Hippocampus reidi
Hippocampus spinosissimus
Hippocampus whitei
Phyllopteryx taeniolatus
Anoplocapros inermis
Balistapus undulatus
Balistoides conspicillum
Balistoides viridescens
Melichthys niger
Melichthys vidua
Odonus niger
Rhinecanthus aculeatus
Sufflamen bursa
Sufflamen chrysopterum
Allomycterus pilatus
Chilomycterus schoepfii
Dicotylichthys punctulatus
Diodon nicthemerus
Acanthaluteres vittiger
Aluterus scriptus
Brachaluteres jacksonianus
Cantherhines dumerilii
Cantherhines macrocerus
Eubalichthys mosaicus
Meuschenia freycineti
Meuschenia hippocrepis
Meuschenia trachylepis
Monacanthus chinensis
Oxymonacanthus longirostris
Scobinichthys granulatus
Acanthostracion quadricornis
Lactophrys triqueter
Lactoria fornasini
Ostracion cubicus
Ostracion meleagris
Arothron hispidus
Arothron meleagris
Arothron nigropunctatus
Canthigaster jactator
Canthigaster rostrata
Canthigaster valentini
Sphoeroides testudineus
Tetractenos glaber
Ascaphus truei
Bombina orientalis
Bombina variegata
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus californicus
Anaxyrus cognatus
Anaxyrus fowleri
Anaxyrus punctatus
Anaxyrus speciosus
Anaxyrus woodhousii
Bufo bankorensis
Bufo bufo
Bufo gargarizans
Bufo spinosus
Bufotes variabilis
Epidalea calamita
Incilius alvarius
Incilius marmoreus
Incilius mazatlanensis
Incilius nebulifer
Incilius occidentalis
Phrynoidis asper
Rhaebo haematiticus
Rhinella horribilis
Rhinella marina
Sclerophrys gutturalis
Oophaga pumilio
Fejervarya kawamurai
Fejervarya limnocharis
Eleutherodactylus coqui
Acris blanchardi
Dendropsophus microcephalus
Hyla arborea
Hyla arenicolor
Hyla chrysoscelis
Hyla cinerea
Hyla eximia
Hyla femoralis
Hyla gratiosa
Hyla immaculata
Hyla japonica
Hyla meridionalis
Hyla versicolor
Hyla wrightorum
Osteopilus septentrionalis
Pseudacris cadaverina
Pseudacris clarkii
Pseudacris crucifer
Pseudacris feriarum
Pseudacris fouquettei
Pseudacris hypochondriaca
Pseudacris regilla
Pseudacris sierra
Pseudacris triseriata
Rheohyla miotympanum
Scinax staufferi
Smilisca baudinii
Smilisca phaeota
Tlalocohyla smithii
Hyperolius marmoratus
Leiopelma archeyi
Leiopelma hochstetteri
Leptodactylus melanonotus
Leptodactylus savagei
Gastrophryne carolinensis
Gastrophryne olivacea
Kaloula pulchra
Pelobates fuscus
Litoria ewingii
Ranoidea aurea
Ranoidea caerulea
Ranoidea moorei
Ranoidea raniformis
Xenopus laevis
Amietia fuscigula
Chalcorana chalconota
Glandirana emeljanovi
Hylarana erythraea
Hylarana latouchii
Lithobates berlandieri
Lithobates catesbeianus
Lithobates clamitans
Lithobates grylio
Lithobates magnaocularis
Lithobates palustris
Lithobates pipiens
Lithobates septentrionalis
Lithobates sphenocephalus
Lithobates sylvaticus
Pelophylax bedriagae
Pelophylax chosenicus
Pelophylax nigromaculatus
Rana cascadae
Rana dalmatina
Rana draytonii
Rana italica
Rana latastei
Rana luteiventris
